term,category,en_definition,de_definition,en_example,de_example,related_terms,see_also
math::geometry,Tcllib-Bibliotheken / Tcllib Libraries,"Tcllib 2D geometry package. Computations: distance between points, polygon area, line intersections, point-in-polygon, bounding box, convex hull. Targeted at canvas/visualization tasks rather than CAD-grade precision.","Tcllib-2D-Geometrie-Paket. Berechnungen: Punktabstand, Polygonflaeche, Linien-Schnittpunkte, Punkt-in-Polygon, Bounding Box, konvexe Huelle. Auf Canvas-/Visualisierungs-Aufgaben ausgerichtet, nicht auf CAD-Praezision.",,,,
math::linearalgebra,Tcllib-Bibliotheken / Tcllib Libraries,"Tcllib package for linear algebra operations: matrix/vector arithmetic, dot product, cross product, transpose, determinant, inverse, linear system solving (LU, Gauss-Jordan), least squares, eigenvalues. Pure-Tcl implementation; not optimised for large matrices.","Tcllib-Paket fuer Operationen der linearen Algebra: Matrix/Vektor-Arithmetik, Skalarprodukt, Kreuzprodukt, Transponieren, Determinante, Inverse, Loesen linearer Gleichungssysteme (LU, Gauss-Jordan), Least Squares, Eigenwerte. Pure-Tcl-Implementierung; nicht fuer grosse Matrizen optimiert.",,,,
math::statistics,Tcllib-Bibliotheken / Tcllib Libraries,"Tcllib statistics package. Provides: mean, median, variance, standard deviation, quartiles, histograms, t-test, chi-squared test, ANOVA, correlation, linear regression, distribution functions (normal, t, chi-squared, F, gamma, beta). Useful for in-process data analysis without external dependencies.","Tcllib-Statistik-Paket. Bietet: Mittelwert, Median, Varianz, Standardabweichung, Quartile, Histogramme, t-Test, Chi-Quadrat-Test, ANOVA, Korrelation, lineare Regression, Verteilungsfunktionen (Normal, t, Chi-Quadrat, F, Gamma, Beta). Nuetzlich fuer In-Prozess-Datenanalyse ohne externe Abhaengigkeiten.",,,,
md5 / sha1 / sha256,Tcllib-Bibliotheken / Tcllib Libraries,Tcllib modules for cryptographic hash functions.,Tcllib-Module für kryptographische Hash-Funktionen.,,,,
snit,Tcllib-Bibliotheken / Tcllib Libraries,"Tcllib alternative to TclOO — ""Snit's Not Incr Tcl"". Syntax: snit::type Foo { variable x; method bar {} { ... } } then Foo create instance ?args?. Predates TclOO; uses delegation and method composition rather than classes/inheritance. Still in production use in many Tcllib widgets and BWidget; TclOO is the modern choice for new code.","Tcllib-Alternative zu TclOO — ""Snit's Not Incr Tcl"". Syntax: snit::type Foo { variable x; method bar {} { ... } } dann Foo create instance ?args?. Vor TclOO entstanden; nutzt Delegation und Method-Komposition statt Klassen/Vererbung. Weiterhin in vielen Tcllib-Widgets und BWidget produktiv eingesetzt; TclOO ist die moderne Wahl fuer neuen Code.",,,,
struct::graph,Tcllib-Bibliotheken / Tcllib Libraries,"Tcllib module for graph data structures (nodes, edges, algorithms).","Tcllib-Modul für Graph-Datenstrukturen (Knoten, Kanten, Algorithmen).",,,,
struct::list,Tcllib-Bibliotheken / Tcllib Libraries,Tcllib module with list manipulation utilities.,Tcllib-Modul mit Listen-Manipulations-Werkzeugen.,,,,
struct::queue,Tcllib-Bibliotheken / Tcllib Libraries,"Tcllib module implementing queue data structure (put, get, peek).","Tcllib-Modul, das Queue-Datenstruktur implementiert (put, get, peek).",,,,
struct::set,Tcllib-Bibliotheken / Tcllib Libraries,"Tcllib module for set operations (union, intersection, difference).","Tcllib-Modul für Mengen-Operationen (Union, Schnittmenge, Differenz).",,,,
struct::stack,Tcllib-Bibliotheken / Tcllib Libraries,"Tcllib module implementing stack data structure (push, pop, peek).","Tcllib-Modul, das Stack-Datenstruktur implementiert (push, pop, peek).",,,,
struct::tree,Tcllib-Bibliotheken / Tcllib Libraries,Tcllib module for hierarchical tree data structures.,Tcllib-Modul für hierarchische Baum-Datenstrukturen.,,,,
tdom,Tcllib-Bibliotheken / Tcllib Libraries,"Tcl XML/DOM library, written in C, very fast. Syntax: package require tdom; set doc [dom parse $xmlString]; set root [$doc documentElement]; $root selectNodes ""//tag/@attr"". Supports DOM, XPath, XSLT, HTML parsing (-html), HTML5 (-html5 in 0.9+), schema validation. Standard choice for XML in Tcl. Not part of Tcllib proper — separate distribution.","Tcl-XML/DOM-Bibliothek, in C geschrieben, sehr schnell. Syntax: package require tdom; set doc [dom parse $xmlString]; set root [$doc documentElement]; $root selectNodes ""//tag/@attr"". Unterstuetzt DOM, XPath, XSLT, HTML-Parsing (-html), HTML5 (-html5 in 0.9+), Schema-Validierung. Standardwahl fuer XML in Tcl. Nicht Teil von Tcllib selbst — separate Distribution.",,,,
textutil,Tcllib-Bibliotheken / Tcllib Libraries,"Tcllib module for text processing utilities (trim, indent, wrap).","Tcllib-Modul für Textverarbeitungs-Werkzeuge (trim, indent, wrap).",,,,
uri,Tcllib-Bibliotheken / Tcllib Libraries,Tcllib module for parsing and building URIs/URLs.,Tcllib-Modul zum Parsen und Erstellen von URIs/URLs.,,,,
? : (Conditional/Ternary),Ternärer Operator / Ternary Operator,"Conditional operator; returns one of two values based on condition (e.g., `$x > 0 ? ""positive"" : ""negative""`).","Bedingter Operator; gibt einen von zwei Werten basierend auf Bedingung zurück (z.B. `$x > 0 ? ""positive"" : ""negative""`).",,,,
Hanging Indent,Text-Formatierung / Text Formatting,Indentation where first line extends left of subsequent lines; opposite of normal indent; in text widget: `-lmargin1` less than `-lmargin2`; used for bullet lists.,"Einrückung, wo erste Zeile links von nachfolgenden Zeilen steht; Gegenteil von normaler Einrückung; in Text-Widget: `-lmargin1` kleiner als `-lmargin2`; verwendet für Aufzählungslisten.",,,,
Hard Break,Text-Formatierung / Text Formatting,Explicit line break inserted by user (Enter key); creates new paragraph or line; stored as \n in text; always breaks line.,Expliziter Zeilenumbruch eingefügt vom Benutzer (Enter-Taste); erstellt neuen Absatz oder Zeile; gespeichert als \n im Text; bricht immer Zeile.,,,,
Indent,Text-Formatierung / Text Formatting,Horizontal spacing at line start; moves text right; in Tk text widget: configured with tag options `-lmargin1` (first line) and `-lmargin2` (continuation); measured in screen units.,Horizontaler Abstand am Zeilenanfang; bewegt Text nach rechts; in Tk-Text-Widget: konfiguriert mit Tag-Optionen `-lmargin1` (erste Zeile) und `-lmargin2` (Fortsetzung); gemessen in Bildschirm-Einheiten.,,,,
Justification,Text-Formatierung / Text Formatting,"Text alignment within line; options: left (default), right, center, both (full justification); in text widget: tag option `-justify`.","Text-Ausrichtung innerhalb Zeile; Optionen: left (Standard), right, center, both (Blocksatz); in Text-Widget: Tag-Option `-justify`.",,,,
Line Break,Text-Formatierung / Text Formatting,"End of line, new line starts; represented by newline character (\n in Unix, \r\n in Windows, \r in old Mac); Tcl normalizes to \n internally.","Zeilenende, neue Zeile beginnt; repräsentiert durch Newline-Zeichen (\n in Unix, \r\n in Windows, \r in altem Mac); Tcl normalisiert intern zu \n.",,,,
Page Break,Text-Formatierung / Text Formatting,"End of page, new page starts; in printing/documents: form feed (\f) character; in Tk text widget: no built-in page concept, but can be marked with tags.","Seitenende, neue Seite beginnt; beim Drucken/Dokumenten: Form-Feed (\f)-Zeichen; in Tk-Text-Widget: kein eingebautes Seiten-Konzept, aber kann mit Tags markiert werden.",,,,
Seitenumbruch (Page Break),Text-Formatierung / Text Formatting,German term for page break; forces new page in document; form feed character (\f); important for printing and PDF generation.,Deutscher Begriff für Page Break; erzwingt neue Seite im Dokument; Form-Feed-Zeichen (\f); wichtig für Drucken und PDF-Generierung.,,,,
Soft Break,Text-Formatierung / Text Formatting,Automatic line break by word wrap; not stored in text; recalculated when window resized; disappears if text fits on one line.,Automatischer Zeilenumbruch durch Wortumbruch; nicht im Text gespeichert; neu berechnet wenn Fenster Größe ändert; verschwindet wenn Text in eine Zeile passt.,,,,
Tab Stop,Text-Formatierung / Text Formatting,Position where tab character (\t) advances cursor; in text widget: configured with `-tabs` option as list of positions; default: every 8 characters.,"Position, wo Tab-Zeichen (\t) Cursor vorrückt; in Text-Widget: konfiguriert mit `-tabs`-Option als Liste von Positionen; Standard: alle 8 Zeichen.",,,,
Word Wrap,Text-Formatierung / Text Formatting,"Automatic line breaking at word boundaries when text exceeds width; in Tk text widget: `-wrap word` option; breaks between words, not mid-word.","Automatischer Zeilenumbruch an Wortgrenzen wenn Text Breite überschreitet; in Tk-Text-Widget: `-wrap word`-Option; bricht zwischen Wörtern, nicht mitten im Wort.",,,,
Zeilenumbruch (Line Break),Text-Formatierung / Text Formatting,German term for line break; new line in text; automatic (word wrap) or manual (hard break with Enter/Return key).,Deutscher Begriff für Line Break; neue Zeile im Text; automatisch (Wortumbruch) oder manuell (harter Umbruch mit Enter/Return-Taste).,,,,
Dump,Text-Widget-Spezifische Begriffe / Text Widget-Specific Terms,"Extract text widget contents including text, marks, tags, and embedded objects.","Text-Widget-Inhalt extrahieren, einschließlich Text, Marks, Tags und eingebetteter Objekte.",,,,
Embedded Image,Text-Widget-Spezifische Begriffe / Text Widget-Specific Terms,Image placed within text widget content at a specific position.,"Bild, das innerhalb des Text-Widget-Inhalts an einer bestimmten Position platziert ist.",,,,
Embedded Window,Text-Widget-Spezifische Begriffe / Text Widget-Specific Terms,Widget embedded within text widget at a specific position.,"Widget, das innerhalb eines Text-Widgets an einer bestimmten Position eingebettet ist.",,,,
End Mark,Text-Widget-Spezifische Begriffe / Text Widget-Specific Terms,Special mark always positioned after the last character in text widget.,"Spezielle Mark, die immer nach dem letzten Zeichen im Text-Widget positioniert ist.",,,,
Insert Mark,Text-Widget-Spezifische Begriffe / Text Widget-Specific Terms,Special mark indicating the current text insertion cursor position.,"Spezielle Mark, die die aktuelle Texteinfügeposition des Cursors anzeigt.",,,,
Line Number,Text-Widget-Spezifische Begriffe / Text Widget-Specific Terms,"Text index format specifying line and character position (e.g., `1.0` = line 1, character 0).","Text-Index-Format, das Zeilen- und Zeichenposition angibt (z.B. `1.0` = Zeile 1, Zeichen 0).",,,,
Mark,Text-Widget-Spezifische Begriffe / Text Widget-Specific Terms,A named position in text widget that moves with text as it's edited; `insert` and `end` are predefined marks.,"Eine benannte Position im Text-Widget, die sich mit Text bewegt, während er bearbeitet wird; `insert` und `end` sind vordefinierte Marks.",,,,
Modified Flag,Text-Widget-Spezifische Begriffe / Text Widget-Specific Terms,Boolean indicating whether text widget content has been changed since last reset.,"Boolescher Wert, der anzeigt, ob Text-Widget-Inhalt seit letztem Zurücksetzen geändert wurde.",,,,
See,Text-Widget-Spezifische Begriffe / Text Widget-Specific Terms,Scroll text widget to make a specific position visible.,"Text-Widget scrollen, um eine bestimmte Position sichtbar zu machen.",,,,
Spacing,Text-Widget-Spezifische Begriffe / Text Widget-Specific Terms,"Vertical spacing options: `spacing1` (above line), `spacing2` (between wrapped lines), `spacing3` (below line).","Vertikale Abstandsoptionen: `spacing1` (über Zeile), `spacing2` (zwischen umbrochenen Zeilen), `spacing3` (unter Zeile).",,,,
Tabs,Text-Widget-Spezifische Begriffe / Text Widget-Specific Terms,"Tab stop positions for text widget, specified as list of distances.","Tabstopp-Positionen für Text-Widget, angegeben als Liste von Abständen.",,,,
Tag,Text-Widget-Spezifische Begriffe / Text Widget-Specific Terms,"Named region in text widget for applying formatting, bindings, or other properties to character ranges.","Benannte Region im Text-Widget zum Anwenden von Formatierung, Bindings oder anderen Eigenschaften auf Zeichenbereiche.",,,,
Tag Add,Text-Widget-Spezifische Begriffe / Text Widget-Specific Terms,Apply a tag to a range of text in a text widget.,Ein Tag auf einen Textbereich in einem Text-Widget anwenden.,,,,
Tag Bind,Text-Widget-Spezifische Begriffe / Text Widget-Specific Terms,Associate event bindings with tagged text regions.,Ereignis-Bindings mit getaggten Textregionen verknüpfen.,,,,
Tag Configure,Text-Widget-Spezifische Begriffe / Text Widget-Specific Terms,"Set display properties (colors, fonts, relief) for text marked with a tag.","Anzeigeeigenschaften (Farben, Schriften, Relief) für mit einem Tag markierten Text setzen.",,,,
Tag Names,Text-Widget-Spezifische Begriffe / Text Widget-Specific Terms,Retrieve list of all tags defined in a text widget.,Liste aller im Text-Widget definierten Tags abrufen.,,,,
Tag Ranges,Text-Widget-Spezifische Begriffe / Text Widget-Specific Terms,Get start and end indices of all ranges with a specific tag.,Start- und End-Indizes aller Bereiche mit einem bestimmten Tag abrufen.,,,,
Tag Remove,Text-Widget-Spezifische Begriffe / Text Widget-Specific Terms,Remove a tag from a range of text in a text widget.,Ein Tag aus einem Textbereich in einem Text-Widget entfernen.,,,,
Undo / Redo,Text-Widget-Spezifische Begriffe / Text Widget-Specific Terms,Commands to reverse or reapply text editing operations in text widget.,Befehle zum Rückgängigmachen oder Wiederherstellen von Textbearbeitungsoperationen im Text-Widget.,,,,
Wrap,Text-Widget-Spezifische Begriffe / Text Widget-Specific Terms,"Text wrapping mode: `none` (no wrap), `char` (wrap at character), `word` (wrap at word boundary).","Textumbruchmodus: `none` (kein Umbruch), `char` (Umbruch bei Zeichen), `word` (Umbruch bei Wortgrenze).",,,,
Yview / Xview,Text-Widget-Spezifische Begriffe / Text Widget-Specific Terms,Control vertical/horizontal scrolling position of text or canvas widgets.,Vertikale/horizontale Scroll-Position von Text- oder Canvas-Widgets steuern.,,,,
Asynchronous,Threading und Parallelverarbeitung / Threading and Parallel Processing,Operation that returns immediately; result available later via callback or polling.,"Operation, die sofort zurückkehrt; Ergebnis später verfügbar über Callback oder Polling.",,,,
Atomic Operation,Threading und Parallelverarbeitung / Threading and Parallel Processing,Operation that completes without interruption; indivisible from other threads' perspective.,"Operation, die ohne Unterbrechung abgeschlossen wird; unteilbar aus Sicht anderer Threads.",,,,
